Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-05-13 18:00:47,false,"Collierville Cycling","26.22","1,166","01:30:50","156","187","17.3","24.6","502","531","0.00","0.0","0.0","0.0","0.0","0.0","0:00","57.2","0:00","No","01:30:50.15","1","0.0","01:30:07","01:41:29","328","430"
Cycling,2021-05-12 16:10:14,false,"Germantown Cycling","28.43","1,320","01:48:22","148","168","15.7","33.1","768","804","0.00","0.0","0.0","0.0","0.0","0.0","0:00","60.8","0:00","No","01:48:21.100","1","0.0","01:47:22","01:54:13","171","314"
Cycling,2021-05-08 10:15:27,false,"Germantown Cycling","42.29","1,916","02:49:03","142","159","15.0","35.2","1,496","1,473","0.00","0.0","0.0","0.0","0.0","0.0","0:00","57.2","0:00","No","02:49:02.77","1","0.0","02:47:27","03:12:12","277","558"
Cycling,2021-05-06 18:03:15,false,"Collierville Cycling","26.71","1,430","01:38:52","155","187","16.2","28.7","564","587","0.00","0.0","0.0","0.0","0.0","0.0","0:00","53.6","0:00","No","01:38:52.22","1","0.0","01:33:45","01:46:27","309","419"
Cycling,2021-05-03 16:55:48,false,"Germantown Cycling","27.10","1,293","01:43:45","145","174","15.7","31.7","633","669","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","01:43:45.22","1","0.0","01:42:18","02:03:01","119","289"
Cycling,2021-05-01 08:57:03,false,"Germantown Cycling","22.87","1,186","01:29:36","140","158","15.3","31.2","331","374","0.00","0.0","0.0","0.0","0.0","0.0","0:00","60.8","0:00","No","01:29:35.97","1","0.0","01:27:11","02:09:03","215","393"
Cycling,2021-04-29 17:11:45,false,"Germantown Cycling","20.48","886","01:16:45","137","160","16.0","29.2","440","492","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:16:45.46","1","0.0","01:15:33","01:24:43","193","312"
Cycling,2021-04-27 11:01:57,false,"Germantown Cycling","25.28","1,295","01:39:12","147","182","15.3","32.0","650","656","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:39:11.67","1","0.0","01:38:05","01:41:42","266","395"
Cycling,2021-04-25 09:41:54,false,"Germantown Cycling","45.11","2,161","02:58:46","138","161","15.1","34.9","1,614","1,677","0.00","0.0","0.0","0.0","0.0","0.0","0:00","55.4","0:00","No","02:58:45.73","1","0.0","02:58:11","03:28:05","274","468"
Cycling,2021-04-24 11:40:03,false,"Germantown Cycling","31.78","1,510","01:58:25","144","163","16.1","31.7","814","833","0.00","0.0","0.0","0.0","0.0","0.0","0:00","55.4","0:00","No","01:58:24.60","1","0.0","01:57:28","02:03:04","277","445"
Cycling,2021-04-21 17:01:46,false,"Germantown Cycling","23.83","1,049","01:30:44","136","155","15.8","31.4","594","627","0.00","0.0","0.0","0.0","0.0","0.0","0:00","48.2","0:00","No","01:30:44.19","1","0.0","01:29:48","01:37:43","257","360"
Cycling,2021-04-20 16:45:52,false,"Germantown Cycling","28.70","1,542","01:46:31","151","176","16.2","31.1","755","810","0.00","0.0","0.0","0.0","0.0","0.0","0:00","57.2","0:00","No","01:46:30.93","1","0.0","01:45:11","01:52:41","253","386"
Cycling,2021-04-18 09:48:17,false,"Germantown Cycling","22.05","907","01:31:00","127","144","14.5","29.7","630","614","0.00","0.0","0.0","0.0","0.0","0.0","0:00","51.8","0:00","No","01:31:00.20","1","0.0","01:29:53","01:36:14","260","450"
Cycling,2021-04-15 16:55:47,false,"Germantown Cycling","14.04","675","00:55:51","136","161","15.1","30.6","387","413","0.00","0.0","0.0","0.0","0.0","0.0","0:00","59.0","0:00","No","55:50.91","1","0.0","00:54:54","01:02:27","240","344"
Cycling,2021-04-13 16:34:39,false,"Germantown Cycling","27.17","1,322","01:43:29","140","170","15.8","34.9","719","748","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:43:28.50","1","0.0","01:41:56","01:52:21","180","289"
Cycling,2021-04-12 16:51:32,false,"Germantown Cycling","27.08","1,314","01:41:19","146","162","16.0","32.1","663","673","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:41:18.60","1","0.0","01:40:22","01:46:48","269","402"
Cycling,2021-04-10 09:34:15,false,"Germantown Cycling","56.79","2,733","03:42:16","144","166","15.3","33.4","2,001","2,057","0.00","0.0","0.0","0.0","0.0","0.0","0:00","57.2","0:00","No","03:42:15.67","1","0.0","03:40:48","04:15:20","255","457"
Cycling,2021-04-08 16:38:18,false,"Germantown Cycling","15.88","784","01:05:05","137","160","14.6","29.4","433","456","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","00:01.52","2","0.0","01:03:39","01:11:41","157","258"
Cycling,2021-04-07 11:53:14,false,"Germantown Cycling","23.34","1,170","01:28:12","145","160","15.9","34.2","640","627","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:28:12.42","1","0.0","01:27:44","01:30:20","264","379"
Cycling,2021-04-06 16:54:33,false,"Germantown Cycling","28.46","1,428","01:49:14","150","167","15.6","34.9","732","794","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","01:49:13.54","1","0.0","01:47:53","01:56:29","224","327"
Cycling,2021-04-03 08:45:46,false,"Germantown Cycling","50.79","2,576","03:19:04","146","164","15.3","33.5","1,818","1,814","0.00","0.0","0.0","0.0","0.0","0.0","0:00","46.4","0:00","No","03:19:04.24","1","0.0","03:16:47","03:46:33","250","817"
Cycling,2021-04-01 16:32:01,false,"Germantown Cycling","25.09","1,165","01:37:30","141","162","15.4","29.6","650","666","0.00","0.0","0.0","0.0","0.0","0.0","0:00","42.8","0:00","No","01:37:30.44","1","0.0","01:36:29","01:57:30","215","361"
